file_name,PULP_CBC_CMD,GUROBI,HUNGARIAN
insta_2_9_100.txt,0.6978,0.2462,0.1997
insta_2_9_1000.txt,78.2050,39.0242,25.8224
insta_2_9_200.txt,5.1433,0.9344,0.9837
insta_2_9_50.txt,0.1216,0.0607,0.0371
insta_2_9_500.txt,16.4563,10.0725,5.5179
insta_3_10_100.txt,0.3854,0.2311,0.6315
insta_3_10_1000.txt,73.6692,42.9981,182.6684
insta_3_10_200.txt,1.8403,0.9849,2.8238
insta_3_10_50.txt,0.1442,0.0628,0.1312
insta_3_10_500.txt,15.2449,10.5859,31.0753
insta_3_1_100.txt,0.5100,0.2381,0.5402
insta_3_1_1000.txt,72.8914,48.8160,192.0480
insta_3_1_200.txt,1.6921,1.1335,2.9304
insta_3_1_50.txt,0.1201,0.0677,0.1760
insta_3_1_500.txt,14.4600,11.1958,33.1371
insta_3_2_100.txt,0.4845,0.2612,0.6627
insta_3_2_1000.txt,69.3526,45.1170,221.2455
insta_3_2_200.txt,1.6595,1.0535,2.8855
insta_3_2_50.txt,0.1190,0.0603,0.1666
insta_3_2_500.txt,13.3171,10.4616,31.1650
insta_3_3_100.txt,0.4050,0.2461,0.7889
insta_3_3_1000.txt,71.8500,46.2732,216.4654
insta_3_3_200.txt,1.7132,1.0742,3.3162
insta_3_3_50.txt,0.1302,0.0669,0.1627
insta_3_3_500.txt,13.9008,11.1280,33.9219
insta_3_4_100.txt,0.4455,0.2469,0.7848
insta_3_4_1000.txt,60.5940,42.9837,216.0770
insta_3_4_200.txt,2.2016,0.9903,3.2257
insta_3_4_50.txt,0.1740,0.0599,0.1965
insta_3_4_500.txt,19.6295,10.5757,33.8440
insta_3_5_100.txt,0.6400,0.2378,0.7278
insta_3_5_1000.txt,71.7129,44.0179,197.7605
insta_3_5_200.txt,1.6114,1.0444,2.0510
insta_3_5_50.txt,0.1221,0.0657,0.0779
insta_3_5_500.txt,12.8001,10.6980,20.2710
insta_3_6_100.txt,0.4368,0.2736,0.5238
insta_3_6_1000.txt,65.3797,43.7169,141.4588
insta_3_6_200.txt,1.4732,0.9821,2.2805
insta_3_6_50.txt,0.1101,0.0579,0.0735
insta_3_6_500.txt,12.8050,10.9395,20.7455
insta_3_7_100.txt,0.3821,0.3072,0.4389
insta_3_7_1000.txt,70.1776,40.6297,142.2321
insta_3_7_200.txt,1.6781,0.5881,2.1778
insta_3_7_50.txt,0.1196,0.0326,0.1224
insta_3_7_500.txt,13.7178,6.7602,21.7974
insta_3_8_100.txt,0.4209,0.1448,0.3996
insta_3_8_1000.txt,60.9915,28.0575,149.0811
insta_3_8_200.txt,1.3889,0.6978,2.3777
insta_3_8_50.txt,0.1040,0.0419,0.0804
insta_3_8_500.txt,11.2046,7.3935,24.5770
insta_3_9_100.txt,0.3672,0.1704,0.4866
insta_3_9_1000.txt,61.6063,32.2510,163.5950
insta_3_9_200.txt,1.3424,0.6998,1.9938
insta_3_9_50.txt,0.1044,0.0405,0.0820
insta_3_9_500.txt,11.3833,7.3243,22.2062
toy_project.txt,0.0233,0.0075,0.0002
